time, avgDiseases, propHealthy
0.0, 2.8575, 0.0375
8.252890013554551E-4, 2.8575, 0.0375
0.0028079331687928485, 2.8575, 0.0375
0.005470449484732068, 2.8575, 0.0375
0.009116736576112654, 2.8575, 0.0375
0.010807598442189618, 2.8575, 0.0375
0.012033468765029436, 2.8575, 0.0375
0.013085581459878067, 2.8575, 0.0375
0.014949884520462397, 2.8575, 0.0375
0.015296108986592677, 2.8575, 0.0375
0.018527546039618016, 2.8575, 0.0375
0.01866470104198677, 2.8575, 0.0375
0.019859407577949625, 2.8575, 0.0375
0.02281007999355898, 2.8575, 0.0375
0.026871594157440396, 2.8575, 0.0375
0.027851045848283764, 2.8575, 0.0375
0.03012567180361627, 2.8575, 0.0375
0.030479220213662773, 2.8575, 0.0375
0.03578202450002626, 2.8575, 0.0375
0.04082163593285037, 2.8575, 0.0375
0.04930099663559751, 2.86, 0.0375
0.05025624999202292, 2.86, 0.0375
0.05050827073771112, 2.86, 0.0375
0.05220653428582153, 2.86, 0.0375
0.05322644853428611, 2.86, 0.0375
0.05419338267083642, 2.86, 0.0375
0.05559233706021118, 2.86, 0.0375
0.056206433779638264, 2.86, 0.0375
0.05793420326059687, 2.86, 0.0375
0.05981158670662161, 2.86, 0.0375
0.06001846133349299, 2.86, 0.0375
0.0614889191875875, 2.86, 0.0375
0.07355154981293875, 2.86, 0.0375
0.07651944109707484, 2.86, 0.0375
0.07730901783728529, 2.86, 0.0375
0.0818689316609326, 2.86, 0.0375
0.08187325718572945, 2.86, 0.0375
0.08511768671124756, 2.86, 0.0375
0.08682744776399304, 2.86, 0.0375
0.08793877385065985, 2.86, 0.0375
0.09410126707882417, 2.86, 0.0375
0.09820185294791704, 2.86, 0.0375
0.09949920857751371, 2.86, 0.0375
0.0999861633618829, 2.86, 0.0375
0.10324435083127703, 2.86, 0.0375
0.10325870953177337, 2.86, 0.0375
0.10351291162872865, 2.86, 0.0375
0.10358553180426996, 2.86, 0.0375
0.10478012741894636, 2.86, 0.0375
0.10643184252878654, 2.86, 0.0375
0.11222602914720635, 2.86, 0.0375
0.11383092704183113, 2.8625, 0.0375
0.11519146955208323, 2.8625, 0.0375
0.11804896293120334, 2.8625, 0.0375
0.12049021266473889, 2.8625, 0.0375
0.12163541595934589, 2.8625, 0.0375
0.12224907929256132, 2.8625, 0.0375
0.12452801215996595, 2.8625, 0.0375
0.12546615556201715, 2.8625, 0.0375
0.12821785670567132, 2.8625, 0.0375
0.12972930066153066, 2.8625, 0.0375
0.13107958814378748, 2.8625, 0.0375
0.13198765700383158, 2.8625, 0.0375
0.13355006853547752, 2.8625, 0.0375
0.13391341629106437, 2.8625, 0.0375
0.13805520719486475, 2.8625, 0.0375
0.14041397264598257, 2.8625, 0.0375
0.14083664102654342, 2.8625, 0.0375
0.15050719330795118, 2.8625, 0.0375
0.1612857141724095, 2.8625, 0.0375
0.16221687696994516, 2.8625, 0.0375
0.16242990766745244, 2.865, 0.0375
0.16310367499136036, 2.8675, 0.035
0.16584678442560485, 2.8675, 0.035
0.17120872464815817, 2.8675, 0.035
0.1716008881495757, 2.8675, 0.035
0.17233294217218179, 2.8675, 0.035
0.17365758923888291, 2.8675, 0.035
0.17543995643865093, 2.8675, 0.035
0.17874705864718604, 2.8675, 0.035
0.18035885089054246, 2.8675, 0.035
0.18061254021249853, 2.8675, 0.035
0.18174055509578696, 2.8675, 0.035
0.18540441488257287, 2.8675, 0.035
0.18947372619322722, 2.8675, 0.035
0.1914785407294753, 2.8675, 0.035
0.19227269610942996, 2.8675, 0.035
0.1927133827571897, 2.8675, 0.035
0.19509092134549333, 2.8675, 0.035
0.19905167885420233, 2.8675, 0.035
0.2000111811629763, 2.87, 0.035
0.20134485491035986, 2.87, 0.035
0.20150835807740305, 2.87, 0.035
0.2021055544786182, 2.87, 0.035
0.20267657830658142, 2.87, 0.035
0.2032603116172947, 2.87, 0.035
0.2045964838379797, 2.87, 0.035
0.2058203978587309, 2.87, 0.035
0.20667610575581657, 2.87, 0.035
0.20688929141218865, 2.87, 0.035
0.20825745185012348, 2.87, 0.035
0.20864264896613668, 2.87, 0.035
0.2087445402715968, 2.87, 0.035
0.20977468246907569, 2.87, 0.035
0.21004779538635146, 2.87, 0.035
0.21500066284625952, 2.87, 0.035
